personName,countryId,disciplineId
AALERUD Katrine,32,29
ABAD Nestor,34,26
ABAGNALE Giovanni,30,4
ABALDE Alberto,34,10
ABALDE Tamara,34,10
ABALO Luc,10,11
ABAROA Cesar,null,4
ABASS Abobakr,null,8
ABBASALI Hamideh,0,13
ABBASOV Islam,50,30
ABBINGH Lois,92,11
ABBOT Emily,76,12
ABBOTT Monica,43,5
ABDALLA Abubaker Haydar,20,17
ABDALLA Maryam,81,42
ABDALLAH Shahd,81,42
ABDALRASOOL Mohamed,null,6
ABDEL LATIF Radwa,81,22
ABDEL RAZEK Samy,81,22
ABDELAZIZ Abdalla,81,13
ABDELAZIZ Farah,81,31
ABDELAZIZ Feryal,81,13
ABDELMAWGOUD Mohamed,81,6
ABDELMOTTALEB Diaaeldin Kamal Gouda,81,30
ABDELRAHMAN Ihab,81,17
ABDELSALAM Mohamed,81,45
ABDELSALAM Nour,81,32
ABDELWAHED Ahmed,30,17
ABDI Bashir,16,17
ABDIRAHMAN Abdi,43,17
ABDUL HADI Farah Ann,5,26
ABDUL RAHMAN Kiria Tikanah,null,43
ABDUL RAZZAQ Fathimath Nabaaha,null,15
ABDULHAMID Saud,54,45
ABDULJABBAR Ammar Riad,8,1
ABDULLAEV Gulomjon,62,30
ABDULLAEV Muminjon,62,30
ABDULLAH Rahmat Erwin,48,34
ABDULLIN Ilfat,82,41
ABDULREDHA Mohamed,87,11
ABDURAIMOV Elnur,62,1
ABDURAKHIMOV Rasuljon,62,26
ABDURAKHMONOV Bekzod,62,30
ABE Hifumi,70,6
ABE Takatoshi,70,17
ABE Uta,70,6
ABEBE Mekides,58,17
ABEDINI Mojtaba,0,43
ABEL Jennifer,61,23
ABELA Matthew,null,15
ABELVIK ROED Magnus,32,11
ABEYSINGHE Matthew,null,8
ABIAN Pablo,34,15
ABICHA Mohammed,39,19
ABICHT Lorena,80,7
ABIDINE Abidine,null,17
ABLIAZIN Denis,88,26
ABOUD Hadel,null,17
ABOUELKASSEM Alaaeldin,81,43
ABOUKE Nancy Genzel,null,34
ABRAHAM Tadesse,57,17
ABRAHAMS Rusten John,84,44
ABRAMS Aliyah,null,17
ABRAMS Jasmine,null,17
ABRAMYAN Benik,46,17
ABREU Diogo,74,38
ABRINES REDONDO Alejandro,34,10
ABROSIMOV Kirill,88,2
ABU RABEE Asma,9,22
ABU RMILAH Wesam,null,6
ABUAKU Joshua,8,17
ABUJBARA Tala,20,4
