id,teamCountry
0,Islamic Republic of Iran
1,Chinese Taipei
2,Sweden
3,Republic of Korea
4,Philippines
5,Malaysia
6,Fiji
7,Turkey
8,Germany
9,Jordan
10,France
11,Greece
12,Kosovo
13,Slovakia
14,"Hong Kong, China"
15,Argentina
16,Belgium
17,Great Britain
18,San Marino
19,Ecuador
20,Qatar
21,Finland
22,Ghana
23,Bahamas
24,India
25,Belarus
26,Kuwait
27,Puerto Rico
28,Croatia
29,Nigeria
30,Italy
31,Lithuania
32,Norway
33,Turkmenistan
34,Spain
35,Cuba
36,Denmark
37,Ireland
38,Thailand
39,Morocco
40,Ukraine
41,Venezuela
42,Israel
43,United States of America
44,Mexico
45,C�te d'Ivoire
46,Georgia
47,Estonia
48,Indonesia
49,Mongolia
50,Azerbaijan
51,Grenada
52,Armenia
53,Tunisia
54,Saudi Arabia
55,Uganda
56,Namibia
57,Switzerland
58,Ethiopia
59,Jamaica
60,Latvia
61,Canada
62,Uzbekistan
63,Kyrgyzstan
64,North Macedonia
65,Czech Republic
66,Brazil
67,Kenya
68,Slovenia
69,Dominican Republic
70,Japan
71,Botswana
72,New Zealand
73,Poland
74,Portugal
75,Republic of Moldova
76,Australia
77,People's Republic of China
78,Romania
79,Bulgaria
80,Austria
81,Egypt
82,Kazakhstan
83,Serbia
84,South Africa
85,Burkina Faso
86,Bermuda
87,Bahrain
88,ROC
89,Colombia
90,Hungary
91,Syrian Arab Republic
92,Netherlands
